Department,Phone Number,Location,Website
WVFS Request Line,644-1837,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",http://www.wfsu.org/
COAPS,644-4581,"RESEARCH FOUNDATION - BLDG. A, 2000 LEVY AVE",http://www.coaps.fsu.edu/
Records Retention & Destruction,644-7934,"WESTCOTT BUILDING, 222 S COPELAND ST",
Dean Of Students,644-2428,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://deanofstudents.fsu.edu/
Safe Connection ,644-7233,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Florida Center For Prevention Research,644-3016,"FSU RESEARCH COMPLEX, 3200 COMMONWEALTH BLVD",
Criminology And Criminal Justice,644-4050,"EPPES HALL, 112 S. Copeland St.",http://www.criminology.fsu.edu/
Center For Criminology,644-7113,"EPPES HALL, 112 S. Copeland St.",http://www.criminologycenter.fsu.edu/
Criminology Graduate Coordinator,644-7373,"EPPES HALL, 112 S. Copeland St.",
Criminology Academic Advising,644-4052,"EPPES HALL, 112 S. Copeland St.",https://www.criminology.fsu.edu/p/academic-computer-criminology.php
Criminology  Internship Office,645-5691,"EPPES HALL, 112 S. Copeland St.",
Claude Pepper Foundation,644-9309,"PEPPER BUILDING, 636 W CALL ST",
Protein Expression Facility,644-1421,"KASHA LABORATORY, 91 CHIEFTAN WAY",
Physical Biochemistry Facility,644-5147,"KASHA LABORATORY, 91 CHIEFTAN WAY",
Macromolecular X-Ray Facility ,645-1333,"KASHA LABORATORY, 91 CHIEFTAN WAY",
"Molecular Biophysics, Computer Resources (Cr)",644-0069,"KASHA LABORATORY, 91 CHIEFTAN WAY",
Florida Lambdarail,385-0348,"Not Listed, 1607 Village Square Blvd #4, Tallahassee, FL",
Emergency Management,644-7055,"CAROTHERS HALL, 1021 ATOMIC WAY",
"Environmental Health and Safety, Building Code Administration",644-7686,"MENDENHALL BUILDING A, 969 LEARNING WAY",
FSU Foundation Corporate & Foundation Relations,644-5633,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
College of Business,644-3090,"ROVETTA - BUILDING A, 821 ACADEMIC WAY",http://www.cob.fsu.edu/
College of Business Undergraduate Programs,644-3892,"ROVETTA BUILDING B, 821 ACADEMIC WAY",http://www.cob.fsu.edu/Academic-Programs/Undergraduate-Programs
College of Business Graduate Programs,644-6458,"ROVETTA BUILDING B, 821 ACADEMIC WAY",http://www.cob.fsu.edu/Academic-Programs/Graduate-Programs/
College of Business Technology Center,644-4426,"ROVETTA BUILDING B, 821 ACADEMIC WAY",
College of Business Computer Lab,644-9119,"ROVETTA BUILDING B, 821 ACADEMIC WAY",
College of Business Finance Department,644-4220,"ROVETTA - BUILDING A, 821 ACADEMIC WAY",http://www.cob.fsu.edu/Academic-Programs/Departments/Finance
College of Business Management Department,644-5505,"ROVETTA - BUILDING A, 821 ACADEMIC WAY",
College of Business Marketing Department ,644-4091,"ROVETTA - BUILDING A, 821 ACADEMIC WAY",
College of Business Risk Management,644-4070,"ROVETTA - BUILDING A, 821 ACADEMIC WAY",http://www.cob.fsu.edu/Academic-Programs/Departments/Risk-Mgt.-Ins.-Real-Estate-and-Legal-Studies
College of Business Accounting Department,644-2771,"ROVETTA - BUILDING A, 821 ACADEMIC WAY",http://www.cob.fsu.edu/Academic-Programs/Departments/Accounting
College Of Engineering Development Office,559-9134,"STONE BUILDING, 1114 W CALL ST",
FSU Panama,(507)317-0367,"CITY OF KNOWLEDGE, BUILDING 227, Clayton, Republic of Panama",http://panama.fsu.edu/
Panama City Campus,850-872-4750,"P.C.- ADMIN. SERVICES CTR., 4750 COLLEGIATE DR.",http://www.pc.fsu.edu/
"Panama City Faculty, Advanced Science Diving Program",850-770-2203,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City  Advancement Office,850-770-2152,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Facilities,850-770-2181,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Cashiers Office,850-770-2120,"P.C.- BARRON BLDG., 4750 COLLEGIATE DR.",
Panama City Mailroom,850-770-2115,"P.C.- ADMIN. SERVICES CTR., 4750 COLLEGIATE DR.",
Panama City Police & Public Safety,850-770-2222,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Student Government,850-770-2190,"P.C.- STUDENT GOV. CENTER ANNX, 4750 COLLEGIATE DR.",
Panama City Criminology,850-770-2202,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
"Panama City, Office Of The Dean",850-770-2600,"P.C.- TECHNOLOGY BLDG(B SOUTH), 4750 COLLEGIATE DR.",
FSU Foundation Donor Relations,644-0762,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
FSU Foundation Communication Services,645-8844,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
Kellum Hall Night Staff,644-0447,"KELLUM HALL, 74 CHIEFTAN WAY",
Degraff Hall East ,645-8524,"DEGRAFF (MARK H.) HALL, 700 WEST TENNESSEE STREET",
Wildwood Hall North ,645-8556,"WILDWOOD HALL SOUTH (1), 938 W JEFFERSON ST",
Sherrill Williams Ragans Hall,645-1303,"RAGANS HALL 1 (A), 923 LEARNING WAY",
Degraff Hall West,645-8503,"DEGRAFF (MARK H.) HALL, 700 WEST TENNESSEE STREET",
Wildwood Hall South,645-8588,"WILDWOOD HALL SOUTH (1), 938 W JEFFERSON ST",
Sherrill Williams Ragans Hall Assistant Coordinator,645-1301,"RAGANS HALL 1 (A), 923 LEARNING WAY",
Scholars Commons,644-6061,"STROZIER LIBRARY, 116 HONORS WAY",
Florida Center For Reading Research,644-9352,"RESEARCH FOUNDATION - BLDG. B, 2010 LEVY AVE",http://www.fcrr.org/
Strozier Library Facilities,644-6323,"STROZIER LIBRARY, 116 HONORS WAY",
Strozier Library Serials Acquisitions,644-6872,"LIBRARY TECH STACKS, 755 W MADISON ST",
Research & Prospect Management,645-0205,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
COLLEGE OF COMMUNICATION AND INFORMATION HELP DESK,644-8108,"SHORES BUILDING, 142 COLLEGIATE LOOP",
Panama City Student Government President,850-770-2191,"P.C.- STUDENT GOV. CENTER ANNX, 4750 COLLEGIATE DR.",
Degraff Hall Coordinator,645-8525,"DEGRAFF (MARK H.) HALL, 700 WEST TENNESSEE STREET",
Degraff Hall Assistant Coordinator,645-8502,"DEGRAFF (MARK H.) HALL, 700 WEST TENNESSEE STREET",
Degraff Hall Manager,645-8522,"DEGRAFF (MARK H.) HALL, 700 WEST TENNESSEE STREET",
"Degraff Hall, Assistant Hall Manager",645-8502,"GILCHRIST HALL, 702 UNIVERSITY WAY",
Wildwood Hall Coordinator,645-8589,"WILDWOOD HALL SOUTH (1), 938 W JEFFERSON ST",
Wildwood Hall Coordinator,645-8559,"WILDWOOD HALL SOUTH (1), 938 W JEFFERSON ST",
Wildwood Hall Manager,645-8587,"WILDWOOD HALL SOUTH (1), 938 W JEFFERSON ST",
Wildwood Hall Assistant Hall Manager,645-8555,"WILDWOOD HALL SOUTH (1), 938 W JEFFERSON ST",
College Of Criminology & Criminal Justice Development Office,645-0246,"EPPES HALL, 145 CONVOCATION WAY",
College Of Nursing Development Office,274-9407,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Center For Information Management & Educational Services,645-0830,"I.P. - SLIGER (BERNARD F.) #1, 2035 EAST PAUL DIRAC DR",http://www.cimes.fsu.edu/
Student Rights & Responsibilities,644-5136,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
New Student & Family Programs,644-2785,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
FSU Teach,644-1935,"CAROTHERS HALL, 1021 ATOMIC WAY",http://fsu-teach.fsu.edu/
Health and Wellness Center Insurance Billing,644-1640,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
F S View,645-8290,"OGLESBY UNION - DAVIS BUILDING, 79 N WOODWARD AVE",
Fresh Food ,,"FOOD SERVICES FACILITY, 1102 W CALL ST",
Einstein  Bagels,,"OGLESBY UNION - TURNER BLDG., 75 N WOODWARD AVE",
Concessions,,"CAMPBELL STADIUM, 411 STADIUM DR",
Denny's,,"STUDENT SERVICES BUILDING, 874 TRADITIONS WAY",
Starbucks,,"STARBUCKS, 977 LEARNING WAY",
Trading Post,,"OGLESBY UNION - ACTIVITIES, 87 N WOODWARD AVE",
The Suwannee Room,,"JOHNSTON BUILDING, 143 HONORS WAY",
Papa John's,,"OGLESBY UNION - DAVIS BUILDING, 79 N WOODWARD AVE",
Pollo Tropical,,"OGLESBY UNION - DAVIS BUILDING, 79 N WOODWARD AVE",
Anxiety & Behavioral Health Clinic,645-1766,"NEW PSYCOLOGY BUILDING, 1107 WEST CALL STREET",
"Osher Lifelong Learning Institute At The Florida State University, OLLI At FSU",644-7947,"PEPPER BUILDING, 636 W CALL ST",http://www.pepperinstitute.org/OlliatFSU/
Library Fines Management,645-8822,"STROZIER LIBRARY, 116 HONORS WAY",
Strozier Library Heritage Protocol,645-7988,"STROZIER LIBRARY, 116 HONORS WAY",
Mason Hall,645-7879,"STROZIER LIBRARY, 116 HONORS WAY",
Space & Scheduling,645-8939,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Nuclear Services Instrument Shops,644-6734,"COLLINS RESEARCH BUILDING, 1060 ATOMIC WAY",
Military Science,644-1016,"HARPE/JOHNSON BUILDING, 103 VARSITY WAY",http://www.fsu.edu/~armyrotc/
Academic Center For Excellence,645-9151,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Chili's,,"OGLESBY UNION - TURNER BLDG., 75 N WOODWARD AVE",
Freshens,,"LEACH CENTER, 118 VARSITY WAY",
Storm Risk Management ,645-8388,"ROVETTA BUILDING B, 821 ACADEMIC WAY",http://stormrisk.org/
Procurement Services,644-6850,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://www.purchasing.fsu.edu/
Sportsplex West ,645-7246,"IM FIELDS REC SPORTSPLEX BLDG., 3950 TYSON RD",
Sportsplex East,645-7529,"IM FIELDS REC SPORTSPLEX BLDG., 3950 TYSON RD",
"Undergraduate Studies, Division of - Main Fax",644-6723,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Oglesby Union Board,644-5322,"OGLESBY UNION - ACTIVITIES, 87 N WOODWARD AVE",
Oglesby Union Art Center,644-4737,"OGLESBY UNION - ACTIVITIES, 87 N WOODWARD AVE",
PeaceJam,645-8782,"DUNLAP SUCCESS CENTER, 100 S WOODWARD AVE",
Library and Information Studies,644-5775,"SHORES BUILDING, 142 COLLEGIATE LOOP",http://slis.cci.fsu.edu/
Marine Lab,697-4120,"MARINE LAB- MAIN LAB BUILDING, 3618 COASTAL HIGHWAY 98",http://www.marinelab.fsu.edu/
Science & Public Affairs ,644-2007,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",http://www.ispa.fsu.edu/
University Communications,644-2466,"WESTCOTT BUILDING, 222 S COPELAND ST",http://unicomm.fsu.edu/
Special Academic Programs,645-9226,"GLOBAL & MULTICULTURAL CENTER, 110 S WOODWARD AVE",
Program In Interdisciplinary Computing,645-8649,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",http://pic.fsu.edu/
In-House Construction,644-5881,"WAREHOUSE 3, 813C LK. BRADFORD RD",http://www.facilities.fsu.edu/fdc/
Center for The Advancement of Human Rights,644-4550,"2000:102-HUMAN RIGHTS, 426 W JEFFERSON ST",http://www.cahr.fsu.edu/
Business Services,644-7777,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",http://bservices.fsu.edu/
Educational Psychology and Learning Systems,644-4592,"STONE BUILDING, 1114 W CALL ST",http://www.coe.fsu.edu/EPLS/
University Housing,644-2860,"CAWTHON HALL, 119 HONORS WAY",http://www.housing.fsu.edu/
Center For Professional Development,644-3801,"TURNBULL CONFERENCE CENTER, 555 W PENSACOLA ST",http://learningforlife.fsu.edu/
Technology Enhanced Classrooms,644-2811,"CLASSROOM BUILDING, 989 LEARNING WAY",
Panama City Student Disability Services,850-770-2172,"P.C.- STUDENT GOV. CENTER ANNX, 4750 COLLEGIATE DR.",
Governmental Relations,644-4453,"WESTCOTT BUILDING, 222 S COPELAND ST",http://govrel.fsu.edu/
Florida Center For Public Management,644-6460,"CITY CENTRE BUILDING, 227 N. BRONOUGH STREET",http://www.fcpm.fsu.edu/
Pepper Library,644-9217,"PEPPER BUILDING, 636 W CALL ST",http://www.lib.fsu.edu/pepper/
Meteorology Program,644-6205,"LOVE BUILDING, 1017 ACADEMIC WAY",http://www.eoas.fsu.edu/
Panama City Admissions,850-770-2160,"P.C.- BARRON BLDG., 4750 COLLEGIATE DR.",
Panama City Business,850-770-2237,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Civil Engineering,850-770-2259,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Communication,850-770-2249,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Computer & Social Science,850-770-2243,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Education,850-770-2235,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Electrical Engineering,850-770-2247,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Psychology,850-770-2251,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Social Work,850-770-2240,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Panama City Applied Studies,850-770-2178,"P.C.- BARRON BLDG., 4750 COLLEGIATE DR.",
Office Of Undergraduate Research Director,645-9630,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",http://our.fsu.edu/
Panama City Bookstore,850-770-2290,"P.C.- BARRON BLDG., 4750 COLLEGIATE DR.",
Entrepreneurship Boot camp for Veterans,644-6154,"ROVETTA BUILDING B, 821 ACADEMIC WAY",
Panama City Recreation & Leisure ,850-770-2239,"P.C.- BARRON BLDG., 4750 COLLEGIATE DR.",
"Earth, Ocean & Atmospheric Science",644-6205,"LOVE BUILDING, 1017 ACADEMIC WAY",
College of Nursing ,644-5638,"CONRADI BUILDING, 809 ACADEMIC WAY",
Advanced Power Systems,645-1710,"RESEARCH FOUNDATION - BLDG. A, 2000 LEVY AVE",http://www.caps.fsu.edu/
Office Of Graduate Fellowships And Awards,644-8132,"STROZIER LIBRARY, 116 HONORS WAY",
Visitor Center,644-3246,"UNIVERSITY CENTER - BLDG. B, 288 CHAMPIONS WAY",
University Libraries Development Office,228-3283,"STROZIER LIBRARY, 116 HONORS WAY",
Student Affairs Research & Programs,644-1331,"WESTCOTT BUILDING, 222 S COPELAND ST",http://research.studentaffairs.fsu.edu/
Computer Labs,644-5641,"CAROTHERS HALL, 1021 ATOMIC WAY",
Stavros Center Lecturer,644-7722,"STAVROS CENTER, 250 S WOODWARD AVE",
Stavros Center Visiting Professors,645-7574,"STAVROS CENTER, 250 S WOODWARD AVE",
President's Chief of Staff,644-4989,"WESTCOTT BUILDING, 222 S COPELAND ST",
Special Assistant to the President,644-3035,"WESTCOTT BUILDING, 222 S COPELAND ST",
College Of Nursing,645-4905,"CONRADI BUILDING, 809 ACADEMIC WAY",http://nursing.fsu.edu/
FSU Teach Student Resource Room,645-9488,"CAROTHERS HALL, 1021 ATOMIC WAY",
C A P D ,644-3640,"TURNBULL CONFERENCE CENTER, 555 W PENSACOLA ST",
Office Of Distance Learning,644-4635,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",http://distance.fsu.edu/
ODL Assessment & Testing,644-3017,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
College of Engineering ,410-6161,"FAMU/FSU ENGINEERING BLDG. 2, 2525 POTTSDAMER STREET",http://www.eng.fsu.edu/
College of Engineering Student Services,410-6361,"FAMU/FSU ENGINEERING BLDG. 2, 2525 POTTSDAMER STREET",
College of Engineering Career Services,410-6171,"FAMU/FSU ENGINEERING BLDG. 2, 2525 POTTSDAMER STREET",
Communication & Multimedia Services (CMS),410-6446,"FAMU/FSU ENGINEERING BLDG. A, 2525 POTTSDAMER ST",
College of Engineering Distance Learning,410-6494,"FAMU/FSU ENGINEERING BLDG. A, 2525 POTTSDAMER ST",
Engineering Reading Room Library  ,410-6328,"FAMU/FSU ENGINEERING BLDG. A, 2525 POTTSDAMER ST",
College of Engineering Machine Shop,410-6113,"FAMU/FSU ENGINEERING BLDG. A, 2525 POTTSDAMER ST",
Electrical and Computer Engineering,410-6455,"FAMU/FSU ENGINEERING BLDG. 2, 2525 POTTSDAMER STREET",http://www.eng.fsu.edu/departments/electrical_and_computer/
Mechanical Engineering,410-6335,"FAMU/FSU ENGINEERING BLDG. 2, 2525 POTTSDAMER STREET",http://www.eng.fsu.edu/departments/mechanical/
Social Work Doctoral,645-6932,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Panama City Public Safety & Security,850-770-2204,"P.C.- HOLLEY ACADEMIC CTR., 4750 COLLEGIATE DR.",
Chemical Engineering,410-6149,"FAMU/FSU ENGINEERING BLDG. A, 2525 POTTSDAMER ST",http://www.eng.fsu.edu/departments/chemical/
Civil And Environmental Engineering ,410-6136,"FAMU/FSU ENGINEERING BLDG. A, 2525 POTTSDAMER ST",http://www.eng.fsu.edu/departments/civil/
Industrial And Manufacturing Engineering,410-6345,"FAMU/FSU ENGINEERING BLDG. A, 2525 POTTSDAMER ST",http://www.eng.fsu.edu/departments/industrial/
International Student Services Coordinator,645-1424,"GLOBAL & MULTICULTURAL CENTER, 110 S WOODWARD AVE",
Photographer,644-5763,"WESTCOTT BUILDING, 222 S COPELAND ST",
Starbucks at Strozier,,"STROZIER LIBRARY, 116 HONORS WAY",
"Theater, Undergraduate Studies Advising",644-7234,"FINE ARTS BUILDING, 530 W CALL ST",
College of Medicine Front Desk Security,645-8370,"COM -RESEARCH BLDG, 1115 W CALL ST",
Blackboard ,644-8004,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",https://campus.fsu.edu/webapps/login/bb_bb60/logincas.jsp?service=https%3A%2F%2Fcampus.fsu.edu%2Fwebapps%2Flogin%2F
Club Downunder,644-6673,"OGLESBY UNION - ACTIVITIES, 87 N WOODWARD AVE",http://up.union.fsu.edu/
Crenshaw Lanes,644-1819,"OGLESBY UNION - ACTIVITIES, 87 N WOODWARD AVE",
Lost & Found,644-3434,"STUDENT SERVICES BUILDING, 874 TRADITIONS WAY",
Oglesby Union Kaplan Test Preparation ,561-9212,"OGLESBY UNION - ACTIVITIES, 87 N WOODWARD AVE",
IRHC,644-0041,"OGLESBY UNION -NEW CONCOURSE,",
Broward Hall Assistant Coordinator,644-9931,"BROWARD HALL, 668 UNIVERSITY WAY",
College Of Music Box Office,645-7949,"WESTCOTT BUILDING, 222 S COPELAND ST",
Recital Halls,644-2705,"LONGMIRE BUILDING, 125 CONVOCATION WAY",
Ruby Diamond,644-5541,"WESTCOTT BUILDING, 222 S COPELAND ST",
Orchestra ,644-6459,"HOUSEWRIGHT MUSIC BUILDING, 122 N COPELAND ST",
Aquatics,644-0556,"LEACH CENTER, 118 VARSITY WAY",
Campus Recreation Center  Administration,644-0550,"LEACH CENTER, 118 VARSITY WAY",http://fsu.campusrec.com/
Florida Public Radio Network,487-3194,"PUBLIC BROADCAST CENTER, 1600 RED BARBER PLAZA",
WFSU-F M 88.9,487-3086,"PUBLIC BROADCAST CENTER, 1600 RED BARBER PLAZA",
Equal Opportunity and Compliance ,645-6519,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
High Energy Physics,644-1492,"KEEN BUILDING, 77 CHIEFTAN WAY",
Planetarium Reservations,644-1194,"RICHARDS BUILDING, 1055 ATOMIC WAY",
Harold Goldstein Library,644-1803,"SHORES BUILDING, 142 COLLEGIATE LOOP",http://slis.fsu.edu/About-The-School/The-Goldstein-Library
Medical Library,644-3883,"COM -THRASHER BLDG., 1115 W CALL ST",
Panama City  Library & Learning Center,850-770-2140,"P.C.- ADMIN. SERVICES CTR., 4750 COLLEGIATE DR.",
Modern Languages Arabic Division,644-3728,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
Jim  Moran Institute,644-3372,"JIM MORAN BUILDING, 111 S MONROE ST",http://jmi.fsu.edu/
Institute For Applied Business Research,644-2509,"ROVETTA BUILDING B, 821 ACADEMIC WAY",http://tmi.cob.fsu.edu/
"Criminology and Criminal Justice, College of, Online Master's Degree",645-9169,"EPPES HALL, 112 S. Copeland St.",https://www.criminology.fsu.edu/p/academic-deg-online-masters.php
"Criminology and Criminal Justice, College of, Online Bachelor's Degree",644-4050,"EPPES HALL, 112 S. Copeland St.",https://www.criminology.fsu.edu/p/academic-online-bachelors.php
"Museum of Fine Arts, Museum Studies",645-4681,"FINE ARTS BUILDING, 530 W CALL ST",http://www.fsu.edu/~ms/
Public Lands Research Program,644-9292,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
Florida Resources & Environmental Analysis Center ,644-2007,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",http://www.freac.fsu.edu/
Department of Faculty Development and Advancement,644-6876,"WESTCOTT BUILDING, 222 S COPELAND ST",http://fda.fsu.edu/
 F&A Vice President,,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",http://vpfa.fsu.edu/Administrative-Services
Transcripts,644-5855,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
College of Law,644-3400,"LAW SCHOOL ADVOCACY CENTER, 301 S M L KING JR BLVD",http://www.law.fsu.edu/
FSU Credit Union,224-4960,"Not Listed, 483 South Woodward Ave, Tallahassee, FL 32304",http://www.fsucu.org/
Palm Center,644-8122,"SHORES BUILDING, 142 COLLEGIATE LOOP",http://www.palmcenter.fsu.edu/
Florida State Conference Center,644-9550,"TURNBULL CONFERENCE CENTER, 555 W PENSACOLA ST",http://conference.fsu.edu/
"University Housing, Residence Halls",644-2860,"CAWTHON HALL, 119 HONORS WAY",http://www.housing.fsu.edu/Quicklinks/Our-Facilities/Building-Styles/Floor-Plans
Faculty Senate,644-7497,"WESTCOTT BUILDING, 222 S COPELAND ST",http://facsenate.fsu.edu/
Animal Lab,644-4262,"BIOMEDICAL RESEARCH FACILITY, 107 CHIEFTAN WAY",
Florida State University School,245-3883,"FSUS ADMINISTRATION 10, 3000 SCHOOL HOUSE ROAD",
Florida State University School,245-3927,"FSUS ADMINISTRATION 10, 3000 SCHOOL HOUSE ROAD",
Florida State University School,245-3753,"FSUS ADMINISTRATION 10, 3000 SCHOOL HOUSE ROAD",
Institutional  Research,644-1532,"WESTCOTT BUILDING, 222 S COPELAND ST",http://www.bad.fsu.edu/
Real Estate Education,644-4071,"ROVETTA BUILDING B, 821 ACADEMIC WAY",
Center for Insurance Research,644-7884,"ROVETTA - BUILDING A, 821 ACADEMIC WAY",
Seven Days of Opening Nights,644-7670,"WESTCOTT BUILDING, 222 S COPELAND ST",
College of Law Registrar ,644-3288,"LAW SCHOOL ADVOCACY CENTER, 301 S M L KING JR BLVD",
Office of Student Affairs,644-7338,"LAW SCHOOL ADVOCACY CENTER, 301 S ML KING BLVD",
"College of Law, Placement Office",644-4495,"LAW SCHOOL ADVOCACY CENTER, 301 S ML KING BLVD",
"Center for Global Engagement, Administrative",645-9417,"GLOBAL & MULTICULTURAL CENTER, 110 S WOODWARD AVE",
Intercultural Programs,645-2112,"GLOBAL & MULTICULTURAL CENTER, 110 S WOODWARD AVE",
Center for Global Engagement Special Academic Programs,645-9415,"GLOBAL & MULTICULTURAL CENTER, 110 S WOODWARD AVE",
Legal Counsel,644-8632,"WESTCOTT BUILDING, 222 S COPELAND ST",
Supplier Diversity Program,363-0848,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Diversity & Inclusion,645-1326,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
The Graduate School Development Office,644-2451,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Motion Picture Arts Development Office,294-3937,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Panama City Campus Development Office,850-770-2108,"PEPPER BUILDING, 636 W CALL ST",
"FSU Foundation, Gift Processing",644-9193,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
University Advancement,644-0748,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
FSU Foundation Human Resources,645-9849,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
"FSU Foundation, Constituent Programs",645-0246,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
Alumni Association,644-2761,"ALUMNI CENTER FACILITY, 1028 W TENNESSEE ST",
Oglesby Union Maintenance,645-1563,"OGLESBY UNION - DAVIS BUILDING, 79 N WOODWARD AVE",
Club Downunder,644-4239,"OGLESBY UNION -NEW CONCOURSE,",
College of Business Intership Program,644-8495,"ROVETTA BUILDING B, 821 ACADEMIC WAY",
Reservation Facility Coordinator,645-0283,"REZ STAFF RESIDENCE - CABIN 3, 3226 FLASTACOWO RD",
F M C Fitness Movement Clinic,645-0601,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
"FMC Fitness Movement Center, Facility Assistant Director",645-0603,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
"FMC Fitness Movement Clinic, Membership Coordinator",645-0602,"HEALTH & WELLNESS CENTER, 960 LEARNING WAY",
"Sociology, Academic Advising",644-6506,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",
"Sociology, Undergraduate Advising",644-8329,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",
Panama City Academic Resource Center,866-693-7872,"GCCC - ACADEMIC FACILITIES, 5230 WEST HIGHWAY 98",
"Human Sciences, Graduate Studies",644-7221,"SANDELS BUILDING, 120 CONVOCATION WAY",
Human Sciences,644-1281,"SANDELS BUILDING, 120 CONVOCATION WAY",
Institute for Academic Leadership,644-4705,"WESTCOTT BUILDING, 222 S COPELAND ST",
"Center for Higher Education, Teaching & Innovation",645-9329,"STONE BUILDING, 1114 W CALL ST",
Undergraduate Advising for Criminology Department,644-4051,"EPPES HALL, 112 S COPELAND ST",
"Inspector General Services, Office Of, Fax",644-2576,"WESTCOTT BUILDING, 222 S COPELAND ST",
"Religion Department, IT Support Main",645-9459,"LONGMIRE BUILDING, 125 CONVOCATION WAY",
Leave & Terminations Faculty,644-9641,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
"Ringling Museum and Cultural Center, Development Office","941-359-5700, ext. 5821","RINGLING-ART MUSEUM, 5401 BAY SHORE ROAD",
"Planning and Programs Office, Institutional Effectiveness",645-2740,"WESTCOTT BUILDING, 222 S COPELAND ST",
University Relations,644-1000,"WESTCOTT BUILDING, 222 S COPELAND ST",
Honors Scholars and Fellows House,644-1842,"JOHNSTON BUILDING, 143 HONORS WAY",
"Aero-Propulsion, Mechantronics & Energy Center",645-0147,"AME BUILDING (RESEARCH #4), 2003 LEVY AVE",
"Aero-Propulsion, Mechantronics & Energy Center - Fax",645-0112,"AME BUILDING (RESEARCH #4), 2003 LEVY AVE",
"Proposal Development, Main Office",644-2257,"WESTCOTT BUILDING, 222 S COPELAND ST",
Proposal Development - Fax,644-5372,"WESTCOTT BUILDING, 222 S COPELAND ST",
Student Veterans Center,644-9562,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
